t_sec,phase,step_idx,v_z_cmd_ENU,v_z_cmd_NED_z,odom_frame,z_ENU,vz_ENU_meas,vz_NED_meas,alt_min,alt_max,armed,offboard
1761725770.525360,STEP,0,0.500000,-0.500000,odom,1.602873,0.000000,-0.440681,0.500,5.000,1,1
1761725770.544317,STEP,0,0.500000,-0.500000,odom,1.602873,0.000000,-0.440681,0.500,5.000,1,1
1761725770.564335,STEP,0,0.500000,-0.500000,odom,1.602873,0.000000,-0.440681,0.500,5.000,1,1
1761725770.584314,STEP,0,0.500000,-0.500000,odom,1.602873,0.000000,-0.440681,0.500,5.000,1,1
1761725770.604420,STEP,0,0.500000,-0.500000,odom,1.602873,0.000000,-0.445313,0.500,5.000,1,1
1761725770.624324,STEP,0,0.500000,-0.500000,odom,1.602873,0.000000,-0.449478,0.500,5.000,1,1
1761725770.644625,STEP,0,0.500000,-0.500000,odom,1.602873,0.000000,-0.449478,0.500,5.000,1,1
1761725770.664330,STEP,0,0.500000,-0.500000,odom,1.618214,0.575301,-0.449478,0.500,5.000,1,1
1761725770.684617,STEP,0,0.500000,-0.500000,odom,1.618214,0.000000,-0.449478,0.500,5.000,1,1
1761725770.704598,STEP,0,0.500000,-0.500000,odom,1.618214,0.000000,-0.449478,0.500,5.000,1,1
1761725770.724319,STEP,0,0.500000,-0.500000,odom,1.618214,0.000000,-0.449478,0.500,5.000,1,1
1761725770.744786,STEP,0,0.500000,-0.500000,odom,1.618214,0.000000,-0.449478,0.500,5.000,1,1
1761725770.765663,STEP,0,0.500000,-0.500000,odom,1.618214,0.000000,-0.449478,0.500,5.000,1,1
1761725770.784304,STEP,0,0.500000,-0.500000,odom,1.618214,0.000000,-0.449478,0.500,5.000,1,1
1761725770.804407,STEP,0,0.500000,-0.500000,odom,1.618214,0.000000,-0.449478,0.500,5.000,1,1
1761725770.824507,STEP,0,0.500000,-0.500000,odom,1.618214,0.000000,-0.451300,0.500,5.000,1,1
1761725770.844217,STEP,0,0.500000,-0.500000,odom,1.618214,0.000000,-0.457709,0.500,5.000,1,1
1761725770.864399,STEP,0,0.500000,-0.500000,odom,1.633749,0.233019,-0.457709,0.500,5.000,1,1
1761725770.884444,STEP,0,0.500000,-0.500000,odom,1.633749,0.163114,-0.457709,0.500,5.000,1,1
1761725770.904271,STEP,0,0.500000,-0.500000,odom,1.633749,0.000000,-0.457709,0.500,5.000,1,1
1761725770.924402,STEP,0,0.500000,-0.500000,odom,1.633749,0.000000,-0.457709,0.500,5.000,1,1
1761725770.944401,STEP,0,0.500000,-0.500000,odom,1.633749,0.000000,-0.457709,0.500,5.000,1,1
1761725770.964858,STEP,0,0.500000,-0.500000,odom,1.633749,0.000000,-0.457709,0.500,5.000,1,1
1761725770.984338,STEP,0,0.500000,-0.500000,odom,1.633749,0.000000,-0.457709,0.500,5.000,1,1
1761725771.004356,STEP,0,0.500000,-0.500000,odom,1.633749,0.000000,-0.457709,0.500,5.000,1,1
1761725771.024406,STEP,0,0.500000,-0.500000,odom,1.633749,0.000000,-0.457709,0.500,5.000,1,1
1761725771.044410,STEP,0,0.500000,-0.500000,odom,1.633749,0.000000,-0.459046,0.500,5.000,1,1
1761725771.064488,STEP,0,0.500000,-0.500000,odom,1.633749,0.000000,-0.462596,0.500,5.000,1,1
1761725771.085161,STEP,0,0.500000,-0.500000,odom,1.649414,0.293709,-0.462596,0.500,5.000,1,1
1761725771.104391,STEP,0,0.500000,-0.500000,odom,1.649414,0.000000,-0.462596,0.500,5.000,1,1
1761725771.124470,STEP,0,0.500000,-0.500000,odom,1.649414,0.000000,-0.462596,0.500,5.000,1,1
1761725771.145682,STEP,0,0.500000,-0.500000,odom,1.649414,0.000000,-0.462596,0.500,5.000,1,1
1761725771.164344,STEP,0,0.500000,-0.500000,odom,1.649414,0.000000,-0.462596,0.500,5.000,1,1
1761725771.187639,STEP,0,0.500000,-0.500000,odom,1.649414,0.000000,-0.462596,0.500,5.000,1,1
1761725771.204310,STEP,0,0.500000,-0.500000,odom,1.649414,0.000000,-0.462596,0.500,5.000,1,1
1761725771.224340,STEP,0,0.500000,-0.500000,odom,1.649414,0.000000,-0.462596,0.500,5.000,1,1
1761725771.244407,STEP,0,0.500000,-0.500000,odom,1.649414,0.000000,-0.462596,0.500,5.000,1,1
1761725771.267675,STEP,0,0.500000,-0.500000,odom,1.649414,0.000000,-0.464539,0.500,5.000,1,1
1761725771.284663,STEP,0,0.500000,-0.500000,odom,1.649414,0.000000,-0.465433,0.500,5.000,1,1
1761725771.307629,STEP,0,0.500000,-0.500000,odom,1.649414,0.000000,-0.465433,0.500,5.000,1,1
1761725771.324412,STEP,0,0.500000,-0.500000,odom,1.649414,0.000000,-0.465433,0.500,5.000,1,1
1761725771.344439,STEP,0,0.500000,-0.500000,odom,1.649414,0.000000,-0.465433,0.500,5.000,1,1
1761725771.366173,STEP,0,0.500000,-0.500000,odom,1.649414,0.000000,-0.465433,0.500,5.000,1,1
1761725771.385479,STEP,0,0.500000,-0.500000,odom,1.649414,0.000000,-0.465433,0.500,5.000,1,1
1761725771.407613,STEP,0,0.500000,-0.500000,odom,1.649414,0.000000,-0.465433,0.500,5.000,1,1
1761725771.424394,STEP,0,0.500000,-0.500000,odom,1.649414,0.000000,-0.465433,0.500,5.000,1,1
1761725771.444686,STEP,0,0.500000,-0.500000,odom,1.649414,0.000000,-0.465433,0.500,5.000,1,1
1761725771.465755,STEP,0,0.500000,-0.500000,odom,1.649414,0.000000,-0.467815,0.500,5.000,1,1
1761725771.484301,STEP,0,0.500000,-0.500000,odom,1.665161,0.393676,-0.468523,0.500,5.000,1,1
1761725771.504348,STEP,0,0.500000,-0.500000,odom,1.665161,0.275573,-0.469122,0.500,5.000,1,1
1761725771.524609,STEP,0,0.500000,-0.500000,odom,1.665161,0.192901,-0.469122,0.500,5.000,1,1
1761725771.544724,STEP,0,0.500000,-0.500000,odom,1.665161,0.000000,-0.469122,0.500,5.000,1,1
1761725771.564295,STEP,0,0.500000,-0.500000,odom,1.665161,0.000000,-0.469122,0.500,5.000,1,1
1761725771.584303,STEP,0,0.500000,-0.500000,odom,1.665161,0.000000,-0.469122,0.500,5.000,1,1
1761725771.605817,STEP,0,0.500000,-0.500000,odom,1.665161,0.000000,-0.469122,0.500,5.000,1,1
1761725771.624343,STEP,0,0.500000,-0.500000,odom,1.665161,0.000000,-0.469122,0.500,5.000,1,1
1761725771.644894,STEP,0,0.500000,-0.500000,odom,1.665161,0.000000,-0.469122,0.500,5.000,1,1
1761725771.664330,STEP,0,0.500000,-0.500000,odom,1.665161,0.000000,-0.469122,0.500,5.000,1,1
1761725771.686277,STEP,0,0.500000,-0.500000,odom,1.665161,0.000000,-0.470607,0.500,5.000,1,1
1761725771.704351,STEP,0,0.500000,-0.500000,odom,1.680955,0.296139,-0.471030,0.500,5.000,1,1
1761725771.724813,STEP,0,0.500000,-0.500000,odom,1.680955,0.207297,-0.471030,0.500,5.000,1,1
1761725771.744404,STEP,0,0.500000,-0.500000,odom,1.680955,0.000000,-0.471030,0.500,5.000,1,1
1761725771.764326,STEP,0,0.500000,-0.500000,odom,1.680955,0.000000,-0.471030,0.500,5.000,1,1
1761725771.784310,STEP,0,0.500000,-0.500000,odom,1.680955,0.000000,-0.471030,0.500,5.000,1,1
1761725771.804292,STEP,0,0.500000,-0.500000,odom,1.680955,0.000000,-0.471030,0.500,5.000,1,1
1761725771.825616,STEP,0,0.500000,-0.500000,odom,1.680955,0.000000,-0.471030,0.500,5.000,1,1
1761725771.844294,STEP,0,0.500000,-0.500000,odom,1.680955,0.000000,-0.471030,0.500,5.000,1,1
1761725771.864368,STEP,0,0.500000,-0.500000,odom,1.680955,0.000000,-0.471030,0.500,5.000,1,1
1761725771.884315,STEP,0,0.500000,-0.500000,odom,1.680955,0.000000,-0.471379,0.500,5.000,1,1
1761725771.904285,STEP,0,0.500000,-0.500000,odom,1.696766,0.395297,-0.472328,0.500,5.000,1,1
1761725771.924434,STEP,0,0.500000,-0.500000,odom,1.696766,0.276708,-0.472328,0.500,5.000,1,1
1761725771.944679,STEP,0,0.500000,-0.500000,odom,1.696766,0.193696,-0.472328,0.500,5.000,1,1
1761725771.964409,STEP,0,0.500000,-0.500000,odom,1.696766,0.000000,-0.472328,0.500,5.000,1,1
1761725771.984523,STEP,0,0.500000,-0.500000,odom,1.696766,0.000000,-0.472328,0.500,5.000,1,1
1761725772.004349,STEP,0,0.500000,-0.500000,odom,1.696766,0.000000,-0.472328,0.500,5.000,1,1
1761725772.025523,STEP,0,0.500000,-0.500000,odom,1.696766,0.000000,-0.472328,0.500,5.000,1,1
1761725772.045601,STEP,0,0.500000,-0.500000,odom,1.696766,0.000000,-0.472328,0.500,5.000,1,1
1761725772.064307,STEP,0,0.500000,-0.500000,odom,1.696766,0.000000,-0.472328,0.500,5.000,1,1
1761725772.084342,STEP,0,0.500000,-0.500000,odom,1.696766,0.000000,-0.472328,0.500,5.000,1,1
1761725772.104315,STEP,0,0.500000,-0.500000,odom,1.696766,0.000000,-0.472564,0.500,5.000,1,1
1761725772.124454,STEP,0,0.500000,-0.500000,odom,1.696766,0.000000,-0.472995,0.500,5.000,1,1
1761725772.144354,STEP,0,0.500000,-0.500000,odom,1.712581,0.237218,-0.473186,0.500,5.000,1,1
1761725772.164281,STEP,0,0.500000,-0.500000,odom,1.712581,0.166053,-0.473186,0.500,5.000,1,1
1761725772.184443,STEP,0,0.500000,-0.500000,odom,1.712581,0.000000,-0.473186,0.500,5.000,1,1
1761725772.204764,STEP,0,0.500000,-0.500000,odom,1.712581,0.000000,-0.473186,0.500,5.000,1,1
1761725772.225851,STEP,0,0.500000,-0.500000,odom,1.712581,0.000000,-0.473186,0.500,5.000,1,1
1761725772.244343,STEP,0,0.500000,-0.500000,odom,1.712581,0.000000,-0.473186,0.500,5.000,1,1
1761725772.264428,STEP,0,0.500000,-0.500000,odom,1.712581,0.000000,-0.473186,0.500,5.000,1,1
1761725772.284358,STEP,0,0.500000,-0.500000,odom,1.712581,0.000000,-0.473186,0.500,5.000,1,1
1761725772.304376,STEP,0,0.500000,-0.500000,odom,1.712581,0.000000,-0.473538,0.500,5.000,1,1
1761725772.324436,STEP,0,0.500000,-0.500000,odom,1.728389,0.296403,-0.473675,0.500,5.000,1,1
1761725772.344513,STEP,0,0.500000,-0.500000,odom,1.728389,0.207482,-0.473816,0.500,5.000,1,1
1761725772.364558,STEP,0,0.500000,-0.500000,odom,1.728389,0.000000,-0.473816,0.500,5.000,1,1
1761725772.384490,STEP,0,0.500000,-0.500000,odom,1.728389,0.000000,-0.473816,0.500,5.000,1,1
1761725772.404329,STEP,0,0.500000,-0.500000,odom,1.728389,0.000000,-0.473816,0.500,5.000,1,1
1761725772.424690,STEP,0,0.500000,-0.500000,odom,1.728389,0.000000,-0.473816,0.500,5.000,1,1
1761725772.444351,STEP,0,0.500000,-0.500000,odom,1.728389,0.000000,-0.473816,0.500,5.000,1,1
1761725772.464342,STEP,0,0.500000,-0.500000,odom,1.728389,0.000000,-0.473816,0.500,5.000,1,1
1761725772.484425,STEP,0,0.500000,-0.500000,odom,1.728389,0.000000,-0.473816,0.500,5.000,1,1
1761725772.505059,STEP,0,0.500000,-0.500000,odom,1.728389,0.000000,-0.473816,0.500,5.000,1,1
1761725772.524684,STEP,0,0.500000,-0.500000,odom,1.728389,0.000000,-0.473983,0.500,5.000,1,1
1761725772.544428,STEP,0,0.500000,-0.500000,odom,1.728389,0.000000,-0.474134,0.500,5.000,1,1
1761725772.564429,STEP,0,0.500000,-0.500000,odom,1.744184,0.236914,-0.474134,0.500,5.000,1,1
1761725772.584345,STEP,0,0.500000,-0.500000,odom,1.744184,0.000000,-0.474134,0.500,5.000,1,1
1761725772.604314,STEP,0,0.500000,-0.500000,odom,1.744184,0.000000,-0.474134,0.500,5.000,1,1
1761725772.624288,STEP,0,0.500000,-0.500000,odom,1.744184,0.000000,-0.474134,0.500,5.000,1,1
1761725772.644336,STEP,0,0.500000,-0.500000,odom,1.744184,0.000000,-0.474134,0.500,5.000,1,1
1761725772.664622,STEP,0,0.500000,-0.500000,odom,1.744184,0.000000,-0.474134,0.500,5.000,1,1
1761725772.686074,STEP,0,0.500000,-0.500000,odom,1.744184,0.000000,-0.474134,0.500,5.000,1,1
